#Receptor_resid	Ligand_resid
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
592	30
592	31
592	52
592	53
592	100
592	101
592	103
592	104
592	531
592	532
592	550
592	553
592	592
